aad ada Ada
ett tet têt
etu tue tue
etu tue tué
etx tex tex
euv vue vue
eux eux eux
euy yue yue(00)
ffo off off
fgi gif gif(15)
fik kif kif
fil fil fil
fin fin fin
fio foi foi
fip pif pif
fir rif rif
fis ifs ifs
fit tif tif
fiu fiu fiu(15)
fiu fui fui
fiv fiv FIV
fiv vif vif
flo fol fol
flo lof lof
fnu fun fun
for for for
fot tof tof(10)
fou fou fou
fou ouf ouf*
fox fox fox
fru fur fur*
ftu fut fut~(12)
ftu fut fût
ftu tuf tuf
gin gin gin
gio goi goï
gir gir GIR(12)
gis sig SIG(09)
giu gui gui
giz zig zig
glo log log#(01)
glu glu glu
gmu mug mug(08)
gmy gym gym
gno gon gon
gos gos gos*(15)
goy goy goy
gsu gus gus
hik khi khi
hip phi phi
hit hit hit*
hiu hui hui
hmo ohm ohm
hop pho phô*(13)
hor rho rho*
hor rho rhô
hot hot hot
ikl kil kil
ikp kip kip
ikr kir Kir
iks ksi ksi
iks ski ski
ikt kit kit
ilm mil mil
iln lin lin
ilo loi loi
ilo oil oïl
ilp pli pli
ils ils ils
ils lis lis
ils sil sil
ilt lit lit
ilu lui lui
ilv vil vil
imn min min
imo moi moi
imr mir mir
ims mis mis
imx mix mix(13)
ino ion ion
inp pin pin
int tin tin
inu nui nui
inu uni uni
inv vin vin
iny yin yin
ior roi roi
ios iso iso
ios soi soi
iot toi toi
iou oui oui
iou oui ouï
ips pis pis
ips psi psi
ips spi spi
ipt tip tip
ipz zip Zip
iqu qui qui
irs ris ris
irs sir sir
irt rit rit*#(06)
irt tir tir
irt tri tri
irz riz riz
iss sis sis
isv vis vis
isx six six
isx xis xis~(12)
itv vit vit
jsu jus jus
kop kop kop(13)
kot kot kot
kow wok wok(00)
kuy kyu kyu*
lmo mol mol
lnu nul nul
los sol sol
lot lot lot
lov vol vol
lpu plu plu
lsu lus lus
lsy lys lys
ltu lut lut
lux lux lux
mno mon mon
mno nom nom
mor rom rom
mos mos mos
mot mot mot
mot tom tom(08)
mou mou mou
mox mox mox(00)
mru mur mur
mru mur mûr
msu mus mus
nno non non
nos nos nos
nos nos nôs*
nos son son
not ton ton
now won won
nsu nus nus
nsu uns uns
oox oxo oxo
ooz zoo zoo
opp pop pop
opr pro pro
ops pos pos(00)
opt pot pot
opt top top
opu pou pou
ors ors ors
ort rot rot
ort rot rôt
ost ost ost
ost sot sot
osu sou sou
osv vos vos
ott tot tôt
otu out out
otx tox tox(21)
pru pur pur
psu pus pus
psu sup sup*#
psy psy psy
puy puy puy
puz zup ZUP
rsu rus rus
rsu sur sur
rsu sur sûr
rtu rut rut
ruz ruz ruz
ssu sus sus
stu tus tus
suv vus vus
suw wus wus
suz zus ZUS(10)
zzz zzz zzz*#
